id,condominio,anunciante,num_suites,num_vagas,num_quartos,area,rua,regiao,descricao,tipo_imovel,localidade,bairro,preco
2110,0.0,FUHRO SOUTO IMOBILIARIA,1.0,0.0,5.0,209.0,Rua Três de Maio,RS,"ATENÇÃO CONSTRUTORAS CENTRO/ SUL: Terreno 5x70m , obra inacabada são 2 aptos com pátio e mais uma casa com sala estar, cozinha, dormitórios,...",Casa,Pelotas,Centro,290000
2111,0.0,FUHRO SOUTO IMOBILIARIA,0.0,0.0,2.0,59.0,Triunfo,RS,"LARANJAL: 2 dorms. cozinha americana, novo e próximo a windsurf com 2 garagens.  R$165.000,00. 4189",Apartamento,Pelotas,Laranjal,165000
2112,310.0,JWS - IMÓVEIS,0.0,1.0,2.0,74.0,,RS,"Apartamento exclusivo próximo ao Supermercado BIG
- 2 dormitórios, 2 banheiros(social e auxiliar), sala ampla, área de serviço fechada, vag...",Apartamento,Pelotas,Centro,290000
2113,250.0,AUXILIADORA PREDIAL CIDADE BAIXA,0.0,0.0,3.0,118.0,Rua Manduca Rodrigues,RS,"Casa  com 03 dormitórios, centenária, toda modernizada, no Centro de Pelotas, living amplo, lareira, poço de luz, copa cozinha, banheiro soc...",Casa,Pelotas,Centro,319000
2114,1.217,MAP Corretores de Imóveis,1.0,2.0,3.0,210.0,Rua Almirante Barroso,RS,"Cobertura duplex excelente, central. Possui 2 terraços, suíte, 4 banheiros, sacada. Duas vagas individuais de garagem. Móveis planejados, sp...",Apartamento,Pelotas,Centro,595000
2115,350.0,Moyses Imóveis,1.0,1.0,3.0,100.0,Imediações Unimed Barroso,RS,"Excelente apto 3 dorm, 1 suíte, hall de entrada, sala 2 ambientes c/lareira, painel p/TV em laca brilhante, rebaixamento em gesso, sacada fe...",Apartamento,Pelotas,Centro,636000
2116,0.0,MARQUES IMÓVEIS,1.0,3.0,2.0,125.0,,RS,"Casa COHAB FRAGATA com 2 Dormitórios sendo 1 Suíte, Sala ampla, Cozinha, Área Serviço, Banheiro Social, Vaga 3 Carros, Churrasqueira, Pátio,...",Casa,Pelotas,Fragata,307000
2117,0.0,Moyses Imóveis,1.0,1.0,2.0,69.0,Art Home & Work,RS,"Apartamentos de 2 dormitórios sendo 1 suíte, sala 2 ambientes, cozinha, sacada com churrasqueira, vaga de garagem. 
Condomínio conta área d...",Apartamento,Pelotas,Três Vendas,291920
2118,180.0,FUHRO SOUTO IMOBILIARIA,0.0,1.0,2.0,56.0,Rua Santa Clara,RS,"SANTA CLARA: Próx a faculdade, 2 dorms, sala, cozinha, wc com box, pátio com cobertura em acrílico, estacionamento privativo. R$150.000 Fina...",Apartamento,Pelotas,Três Vendas,150000
2119,1.26,FOXTER CIA. IMOBILIÁRIA,1.0,2.0,3.0,250.0,Rua Santa Cruz,RS,"Belíssima Cobertura Duplex no Centro de Pelotas com 3 dormitórios sendo 1 suíte, 3 banheiros, 11 dependências no total, 2 vagas (garagem), 2...",Apartamento,Pelotas,Centro,999000
